# Column 1: Frequency (microHz)
# Column 2: 
1.800059191611702829e+02 2.106060533685047087e+00
1.800164890918315450e+02 8.286253654854018880e-01
1.800270590224928071e+02 4.560494371467319397e+00
1.800376289531540692e+02 1.816486803944896422e-01
1.800481988838153029e+02 2.022875522314688368e+00
1.800587688144765650e+02 3.913663676009044856e-01
1.800693387451378271e+02 4.838235671092840917e+00
1.800799086757990892e+02 2.026991062872903981e+00
1.800904786064603229e+02 6.925854884996366145e+00
1.801010485371215850e+02 2.964123986527929411e+00
1.801116184677828471e+02 1.886616265342720700e-01
1.801221883984441092e+02 2.514816700992834608e+00
1.801327583291053429e+02 2.515235073124268972e-01
1.801433282597666050e+02 5.357227051492112757e-01
1.801538981904278671e+02 3.609065241522311368e-02
1.801644681210891292e+02 5.105475419378142199e+00
1.801750380517503913e+02 2.165494502941295529e+00
1.801856079824116250e+02 3.096306114304730794e+00
1.801961779130728871e+02 9.150163258635432006e-01
1.802067478437341492e+02 3.932236307758304239e+00
1.802173177743954113e+02 5.355615164806102335e-01
1.802278877050566450e+02 2.511449422895456474e-01
1.802384576357179071e+02 2.383735180921419339e+00
1.802490275663791692e+02 1.919095364013890137e+00
1.802595974970404313e+02 1.293319458931698085e+00
1.802701674277016650e+02 2.580720601398361347e-01
1.802807373583629271e+02 4.685104767768356382e+00
1.802913072890241892e+02 6.786789426858635954e-01
1.803018772196854513e+02 2.324953417478394235e-01
1.803124471503466850e+02 2.932150630912041755e+00
1.803230170810079471e+02 1.522910499360621284e+00
1.803335870116692092e+02 2.667425707227490950e+00
1.803441569423304713e+02 3.472113857438208218e+00
1.803547268729917050e+02 1.060298725000179854e+00
1.803652968036529671e+02 9.355442856718061417e-01
1.803758667343142292e+02 4.446840226930486750e+00
1.803864366649754913e+02 4.804550126507282082e-01
1.803970065956367250e+02 1.113129132890340947e-02
1.804075765262979871e+02 1.769830852516919226e-02
1.804181464569592492e+02 2.165505076009828223e+00
1.804287163876205113e+02 2.225927284092368841e-01
1.804392863182817450e+02 1.512698670796769118e+00
1.804498562489430071e+02 4.382206110475455607e-01
1.804604261796042692e+02 2.033356951989950812e-01
1.804709961102655313e+02 1.323853542144303175e+00
1.804815660409267934e+02 1.281454823960465061e-01
1.804921359715880271e+02 4.241500652245008496e+00
1.805027059022492892e+02 1.896655340520926991e+00
1.805132758329105513e+02 5.379170219590594382e-01
1.805238457635718134e+02 3.967182217934729360e-01
1.805344156942330471e+02 1.843375841960093853e+00
1.805449856248943092e+02 1.921037471156627152e+00
1.805555555555555713e+02 1.848721571679649678e+00
1.805661254862168335e+02 4.047990753976438150e+00
1.805766954168780671e+02 8.664490011243181078e-01
1.805872653475393292e+02 9.147378474025832928e-02
1.805978352782005913e+02 7.963113754607376027e-02
1.806084052088618535e+02 6.870794501752823802e-01
1.806189751395230871e+02 3.516514213597803806e+00
1.806295450701843492e+02 6.830207022396983518e+00
1.806401150008456113e+02 9.026788015283242483e-01
1.806506849315068735e+02 1.911545639257053453e-01
1.806612548621681071e+02 5.233964242251827326e-01
1.806718247928293692e+02 1.122410883069236143e-01
1.806823947234906313e+02 3.649392015268761558e+00
1.806929646541518935e+02 1.492089989074478540e+00
1.807035345848131271e+02 2.668493334501102598e+00
1.807141045154743892e+02 2.136065513638551461e-01
1.807246744461356514e+02 1.895904519506417252e-01
1.807352443767969135e+02 4.947475673212258229e+00
1.807458143074581471e+02 7.992234134398571443e-01
1.807563842381194092e+02 5.458920077171677265e-01
1.807669541687806714e+02 1.572719644987152221e-01
1.807775240994419335e+02 6.575318155975533596e-01
1.807880940301031956e+02 1.847363624539263061e+00
1.807986639607644292e+02 4.530807650032989464e+00
1.808092338914256914e+02 5.900858614422438420e-02
1.808198038220869250e+02 1.531561325521833827e-01
1.808303737527481587e+02 1.494250937855691186e-01
1.808409436834094208e+02 1.071990552983784539e+00
1.808515136140706829e+02 1.100129344931653597e+00
1.808620835447319450e+02 1.508569212350940658e+00
1.808726534753932071e+02 1.595441117633868977e-01
1.808832234060544408e+02 1.259030757308126525e+00
1.808937933367157029e+02 6.486009468361535468e-01
1.809043632673769650e+02 2.939563084765836054e-01
1.809149331980382271e+02 3.073892094950214204e+00
1.809255031286994608e+02 6.032123792025506637e-01
1.809360730593607229e+02 5.192435635523723114e+00
1.809466429900219850e+02 5.150294675919032672e-01
1.809572129206832471e+02 8.614253467077526150e-01
1.809677828513444808e+02 6.322280396697649074e+00
1.809783527820057429e+02 5.099800699365919510e-01
1.809889227126670050e+02 6.679495306830256496e-01
1.809994926433282671e+02 1.203972971438044048e+00
1.810100625739895008e+02 7.335188563493186265e-02
1.810206325046507629e+02 9.912651197727970764e-01
1.810312024353120250e+02 1.574502154804464871e+00
1.810417723659732872e+02 2.431564055452823503e+00
1.810523422966345208e+02 8.332727586921890861e+00
1.810629122272957829e+02 3.160805115770859874e+00
1.810734821579570450e+02 2.146926659150813155e+00
1.810840520886183072e+02 3.392000871572878662e+00
1.810946220192795408e+02 1.539798126729281236e-01
1.811051919499408029e+02 6.415307872999377325e-01
1.811157618806020650e+02 6.310475471690707439e-01
1.811263318112633272e+02 5.395065197748016850e+00
1.811369017419245608e+02 7.006893480399821739e-01
1.811474716725858229e+02 2.932170431514655173e-01
1.811580416032470850e+02 5.042158443449123340e+00
1.811686115339083472e+02 2.501957190115438046e-01
1.811791814645696093e+02 2.459290931822867954e+00
1.811897513952308429e+02 1.981360145453062493e+00
1.812003213258921051e+02 3.311471860889487751e+00
1.812108912565533672e+02 1.170023228626343670e+00
1.812214611872146293e+02 1.052680901696713800e+00
1.812320311178758629e+02 1.630802869405842959e+00
1.812426010485371251e+02 1.812910700696930499e+00
1.812531709791983872e+02 1.710940602583506998e+00
1.812637409098596493e+02 1.671452395603275409e+00
1.812743108405208829e+02 1.535016357770005779e+00
1.812848807711821451e+02 2.536636198179679447e+00
1.812954507018434072e+02 2.266446822825418206e+00
1.813060206325046693e+02 7.912470453185440622e-01
1.813165905631659029e+02 5.147877792724653290e-01
1.813271604938271651e+02 7.603573634328278930e-01
1.813377304244884272e+02 3.040770923745732102e+00
1.813483003551496893e+02 4.164872636134004047e+00
1.813588702858109230e+02 2.630540232772905426e-02
1.813694402164721851e+02 1.863383688942846783e-01
1.813800101471334472e+02 1.697165589230382077e+00
1.813905800777947093e+02 3.744048855646565865e+00
1.814011500084559430e+02 1.356125388450599267e+00
1.814117199391172051e+02 3.054401228135391388e+00
1.814222898697784672e+02 1.467435298312884662e+00
1.814328598004397293e+02 1.612932072599008171e-01
1.814434297311009630e+02 1.842907640562871707e+00
1.814539996617622251e+02 1.624307841641139394e-01
1.814645695924234872e+02 1.361807297157222152e+00
1.814751395230847493e+02 1.158872912839916447e+00
1.814857094537460114e+02 1.363435905317166519e+00
1.814962793844072451e+02 5.052100789912212786e-01
1.815068493150685072e+02 1.560238127863060820e+00
1.815174192457297693e+02 8.959615437270914695e-01
1.815279891763910314e+02 9.774310135762399876e-02
1.815385591070522651e+02 1.235429130416994870e+00
1.815491290377135272e+02 2.003240407652429944e+00
1.815596989683747893e+02 3.557653989096833946e-01
1.815702688990360514e+02 3.526451303834913453e+00
1.815808388296972851e+02 2.215833255872725172e+00
1.815914087603585472e+02 2.258255732948981007e-02
1.816019786910198093e+02 2.476522398410417325e-01
1.816125486216810714e+02 1.000839244701839270e+00
1.816231185523423051e+02 4.195650859049657178e-01
1.816336884830035672e+02 7.873283787817293433e-01
1.816442584136648293e+02 5.767994831552540891e-01
1.816548283443260914e+02 3.266628534493212777e-01
1.816653982749872966e+02 4.543163455639035453e-01
1.816759682056485588e+02 7.609379197639646319e-01
1.816865381363098209e+02 1.505912156526140189e+00
1.816971080669710830e+02 1.992556809877863877e+00
1.817076779976323166e+02 1.573503407131813248e+00
1.817182479282935788e+02 1.307389394754712875e+01
1.817288178589548409e+02 1.015334930857811901e-01
1.817393877896161030e+02 3.564541683577110431e-01
1.817499577202773366e+02 4.747480517502308262e-01
1.817605276509385988e+02 4.795933627417191536e-01
1.817710975815998609e+02 8.111941498658881144e-01
1.817816675122611230e+02 1.604665802455583490e-01
1.817922374429223566e+02 1.079121822350970383e+01
1.818028073735836188e+02 7.476260443000228850e-01
1.818133773042448809e+02 1.121300344574098329e+00
1.818239472349061430e+02 2.022031392505346137e+00
1.818345171655673767e+02 1.553888469026637464e+00
1.818450870962286388e+02 2.198642730239375176e-01
1.818556570268899009e+02 1.624586136714456286e+00
1.818662269575511630e+02 6.319246955561084178e-01
1.818767968882124251e+02 5.546623877726178264e+00
1.818873668188736588e+02 2.127511601516930639e+00
1.818979367495349209e+02 3.198725618525147585e+00
1.819085066801961830e+02 3.139809910014440320e+00
1.819190766108574451e+02 1.169135352612377110e+00
1.819296465415186788e+02 2.400337937219033435e+00
1.819402164721799409e+02 1.844902737720965358e-01
1.819507864028412030e+02 9.584932905244635037e+00
1.819613563335024651e+02 4.488904529455504999e+00
1.819719262641636988e+02 5.063480150085892362e+00
1.819824961948249609e+02 2.448614159593574868e+00
1.819930661254862230e+02 3.745487584227616296e+00
1.820036360561474851e+02 2.354793522678902407e-01
1.820142059868087188e+02 5.493523545437818401e-01
1.820247759174699809e+02 1.615118328612778598e+00
1.820353458481312430e+02 3.055745029486237385e+00
1.820459157787925051e+02 1.584649608436399904e+00
1.820564857094537388e+02 1.848812877086627227e+00
1.820670556401150009e+02 1.230264024132344369e+00
1.820776255707762630e+02 1.244012134070189513e+00
1.820881955014375251e+02 4.822691994210696054e-01
1.820987654320987588e+02 8.697965911344866186e+00
1.821093353627600209e+02 3.557548603253123165e+00
1.821199052934212830e+02 1.499493444903958306e+00
1.821304752240825451e+02 4.045725722200966823e-01
1.821410451547437788e+02 1.759862468362257237e+00
1.821516150854050409e+02 2.635820163429696827e-01
1.821621850160663030e+02 5.298644675186571507e-03
1.821727549467275651e+02 2.762731068509188592e+00
1.821833248773888272e+02 3.680094971075775767e-01
1.821938948080500609e+02 4.401555019766900112e-01
1.822044647387113230e+02 1.979967767817762125e-01
1.822150346693725851e+02 3.999055099170951255e+00
1.822256046000338472e+02 1.343028867650738922e+00
1.822361745306950809e+02 2.398156630563965941e-01
1.822467444613563430e+02 3.216967150232963868e-01
1.822573143920176051e+02 3.058353997180952355e+00
1.822678843226788672e+02 3.293541388683558946e+00
1.822784542533401009e+02 7.594127728444910463e-02
1.822890241840013630e+02 9.615678213990584700e-02
1.822995941146626251e+02 3.416202617241326234e-01
1.823101640453238872e+02 3.893748184539025825e+00
1.823207339759851209e+02 4.376024745461065457e+00
1.823313039066463830e+02 7.983987220875891078e-01
1.823418738373076451e+02 3.764963866902771183e+00
1.823524437679689072e+02 3.309742462971124732e-01
1.823630136986301409e+02 8.939956856342349267e-01
1.823735836292914030e+02 1.456104957823894042e+00
1.823841535599526651e+02 3.733959616547686267e-01
1.823947234906139272e+02 1.181601241292778548e+00
1.824052934212751609e+02 1.528335429106417509e+00
1.824158633519364230e+02 5.269782381118938375e+00
1.824264332825976851e+02 3.207981708065614779e+00
1.824370032132589472e+02 1.600315268699509019e+00
1.824475731439201809e+02 5.245202553988187688e+00
1.824581430745814430e+02 1.597992210329291507e-01
1.824687130052427051e+02 8.592605083587887549e-01
1.824792829359039672e+02 1.110481182391864330e+01
1.824898528665652293e+02 7.631655060119220124e-01
1.825004227972264630e+02 4.487213678836871611e-01
1.825109927278876967e+02 5.921484691496928576e+00
1.825215626585489588e+02 1.576210796742965714e+00
1.825321325892101925e+02 1.813083518794971871e+00
1.825427025198714546e+02 4.577865881707283702e-01
1.825532724505327167e+02 9.810760785563936714e-01
1.825638423811939788e+02 5.726249128094007546e-01
1.825744123118552125e+02 2.823733281806559248e+00
1.825849822425164746e+02 1.641140036508393685e+00
1.825955521731777367e+02 6.410805287184031531e-01
1.826061221038389988e+02 1.816799267978873811e+00
1.826166920345002609e+02 3.152756128664504498e-01
1.826272619651614946e+02 3.861803335269759607e+00
1.826378318958227567e+02 3.875076986089957209e+00
1.826484018264840188e+02 3.182686880284335551e-01
1.826589717571452809e+02 3.428167809266915445e-01
1.826695416878065146e+02 1.839478879305206593e+00
1.826801116184677767e+02 4.931068011002165408e-01
1.826906815491290388e+02 2.081229532520935788e+00
1.827012514797903009e+02 1.071605578268040926e+00
1.827118214104515346e+02 5.999794566954919084e-01
1.827223913411127967e+02 2.285972991483935068e+00
1.827329612717740588e+02 1.441404518271163226e+00
1.827435312024353209e+02 1.321414460661126666e-01
1.827541011330965546e+02 1.963448958520350951e+00
1.827646710637578167e+02 1.662029580007638341e+00
1.827752409944190788e+02 3.040087253492120833e+00
1.827858109250803409e+02 2.388574183434571729e+00
1.827963808557415746e+02 6.097206751310350059e-01
